Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,41.00559758,8.381297161,2,8.424990566,0,0,0,0,16
   B,0,0,0,0,43.95876007,23.08963206,2,11.14388262,16
   C,46.97674796,5.497719633,2,8.335306663,0,0,0,0,16
   D,0,0,0,0,49.39736065,18.76952982,2,11.31315642,16
   E,32.87581699,3.522741306,2,7.028858319,0,0,0,0,16
   F,0,0,0,0,23.36401661,6.496508238,2,9.211323282,16
   G,3.933158473,24.52814984,2,29.2985337,0,0,0,0,16
   H,0,0,0,0,42.73818185,21.6659402,2,18.29131087,16
   I,24.53485207,2.474411052,2,1.680545231,0,0,0,0,16
   J,0,0,0,0,31.58289933,4.045898753,2,1.860437327,16
   L,22.09788589,6.998231288,2,11.64388282,0,0,0,0,16
   M,0,0,0,0,31.69823657,8.341046741,2,10.32071669,16
   N,22.35871148,0.324069698,2,1.483819706,0,0,0,0,16
   O,0,0,0,0,23.14290515,0.517428778,2,0.509931081,16
   P,10.66346089,8.346938723,2,9.689803348,0,0,0,0,16
   Q,0,0,0,0,10.83712066,10.15266257,2,8.779630805,16
