MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,RIO-REPEAT,EPS-EI
18.49877524,69.8951976,70.92808567,139.3762166,181.1155525,238.5834018,257.9748756
17.8714646,67.52498656,68.52284844,134.6498397,174.973756,230.4928171,249.2267081
17.53909493,66.26917133,67.24847518,132.1456508,171.7196316,226.2061611,244.5916432
6.874489545,25.9743577,26.35819815,51.7947989,67.30591381,88.66203732,95.8682703
11.05215694,41.75912637,42.3762289,83.27080028,108.2081102,142.5424745,154.1279773
12.32847573,46.58152965,47.26989606,92.88703068,120.7041366,159.0034821,171.9268953
9.806795458,37.05369125,37.60125842,73.8878131,96.01517692,126.4807313,136.760775
5.785233291,21.85874571,22.18176701,43.58796285,56.64135653,74.61362282,80.67803512
11.91675969,45.02591457,45.69129261,89.78501864,116.6731574,153.6934758,166.1853047
13.65036985,51.57613331,52.33830831,102.8466414,133.6463763,176.0522862,190.3613843
11.5281328,43.55753878,44.20121765,86.85696823,112.8682366,148.6812561,160.765704
3.584913314,13.54512508,13.74529045,27.00998568,35.09873205,46.23553734,49.99344844
9.837283825,37.16888755,37.71815705,74.11752307,96.3136787,126.8739475,137.1859508
6.811789767,25.73745481,26.11779438,51.32239693,66.69204047,87.85338236,94.99388985
10.49952017,39.67106076,40.25730655,79.10704234,102.7974215,135.4149778,146.4211751
3.830804015,14.47419087,14.68808566,28.86261188,37.50616874,49.40685216,53.42251995
6.858316435,25.91324972,26.29618714,51.67294506,67.1475681,88.45344862,95.64272802
17.9083053,67.66418432,68.66410321,134.9274103,175.3344514,230.967961,249.7404705
7.861188953,29.70247209,30.14140537,59.22893595,76.96637004,101.3877501,109.6282979
14.5548967,54.99376945,55.80644915,109.6616618,142.5023074,187.7181987,202.9754736
16.86205215,63.71105391,64.65255475,127.0445746,165.0909236,217.4741684,235.1499355
14.15294722,53.47505603,54.26529269,106.6332344,138.5669495,182.5341542,197.3700827
12.13035155,45.83294339,46.51024744,91.39429407,118.7643665,156.4482242,169.1639523
3.902698816,14.74583595,14.96374502,29.40429235,38.21006759,50.33409766,54.42512969
9.768762716,36.90998952,37.45543312,73.60126117,95.64281059,125.9902134,136.230389
14.88155585,56.22800825,57.05892712,112.1228256,145.7005221,191.9312047,207.5309024
19.24088807,72.69917365,73.77349795,144.9675531,188.3813403,248.1546194,268.3240183
14.26412413,53.89512341,54.69156769,107.47088,139.6554469,183.968031,198.9205015
11.57106857,43.71976598,44.36584219,87.18046133,113.288607,149.2350097,161.3644653
6.398509775,24.17593053,24.53319442,48.20860151,62.64574914,82.52320537,89.23048914
5.615446701,21.21722934,21.53077052,42.30873154,54.9790307,72.42384206,78.31027435
19.45306423,73.50085347,74.58702473,146.5661622,190.4586888,250.8911092,271.2829233
14.88120318,56.22667572,57.0575749,112.1201685,145.6970692,191.9266562,207.5259842
12.03014146,45.45431269,46.12602146,90.63927633,117.7832418,155.1557892,167.7664713
12.2079217,46.12603203,46.80766725,91.9787346,119.5238309,157.4486661,170.2457076
16.95625148,64.06697374,65.01373424,127.7543052,166.013199,218.6890811,236.4635933
13.16288674,49.73424229,50.46919844,99.17377391,128.8735862,169.7650928,183.5631833
10.65299856,40.25095875,40.84577408,80.26340201,104.300079,137.3944275,148.5615097
17.64775187,66.67971734,67.6650881,132.96431,172.7834567,227.6075372,246.1069197
13.4974577,50.9983748,51.75201188,101.694548,132.1492627,174.0801394,188.2289463
18.79373969,71.00968213,72.05903967,141.5985815,184.0034545,242.3876332,262.0883057
4.511699373,17.04686473,17.29877765,33.99271469,44.17259597,58.18853249,62.91795372
7.972844961,30.12434968,30.56951733,60.07019121,78.05955807,102.827806,111.185398
3.484936145,13.16737445,13.36195755,26.25672287,34.11988778,44.94610641,48.59921572
6.504509488,24.57643655,24.93961898,49.00724027,63.6835582,83.89031058,90.70870932
12.55835204,47.45008713,48.15128879,94.61899883,122.9547815,161.9682552,175.1326378
10.0341461,37.91270586,38.47296726,75.60075203,98.24109386,129.4129303,139.9312959
13.99383665,52.87387759,53.65523023,105.4344399,137.0091492,180.4820648,195.1512044
19.73102139,74.55107816,75.65276929,148.6603883,193.1800778,254.4759932,275.159178
18.13137581,68.507027,69.51940114,136.6081013,177.5184629,233.844958,252.8513027
6.941802545,26.22869105,26.61628995,52.3019585,67.96495373,89.53019019,96.80698451
0.371392133,1.403256495,1.423993355,2.7981977,3.636180799,4.789938646,5.179253114
4.385924309,16.57164013,16.81653034,33.04508154,42.94117281,56.56637955,61.16395617
8.99214394,33.97563727,34.47771798,67.74994479,88.0391862,115.9739638,125.4000432
14.93616401,56.43433803,57.26830597,112.5342626,146.235173,192.6355001,208.2924411
13.38761481,50.58334783,51.33085178,100.8669534,131.0738263,172.6634678,186.697131
21.67839684,81.90898106,83.11940484,163.3325933,212.2462039,279.5917889,302.3163239
13.54380221,51.17348146,51.92970621,102.0437237,132.6030069,174.6778564,188.8752442
-0.820084245,-3.09858083,-3.144370631,-6.178800371,-8.029180807,-10.57683475,-11.43649395
5.710037711,21.57462907,21.89345179,43.02141316,55.90514082,73.64380633,79.62939432
9.101995303,34.39069625,34.89891056,68.57760322,89.11470552,117.3907447,126.9319766
5.920108335,22.36835339,22.69890551,44.60415842,57.96187467,76.35314052,82.55893655
27.36997384,103.4138588,104.9420745,206.214917,267.9706018,352.9975028,381.6882742
23.15175985,87.47589009,88.7685798,174.4334235,226.6714268,298.5941259,322.8631242
18.95035084,71.60141682,72.65951883,142.7785444,185.5367838,244.407487,264.2723282
15.9902558,60.41708568,61.30990935,120.4761573,156.5554463,206.2303895,222.9922899
16.2500858,61.39881929,62.3061507,122.433807,159.0993582,209.581483,226.6157521
9.487411504,35.84694085,36.37667506,71.48146314,92.88819146,122.3615553,132.3068025
8.059204583,30.45064819,30.90063778,60.72085469,78.90507732,103.941608,112.389727
6.811013587,25.73452211,26.11481835,51.31654892,66.68444115,87.84337178,94.98306563
12.71168004,48.0294169,48.7391797,95.77422543,124.4559666,163.9457654,177.2708752
4.164851249,15.73634455,15.96889104,31.3794401,40.77671766,53.71514415,58.08097935
7.985270424,30.17129766,30.6171591,60.16380897,78.18121177,102.9880604,111.3586774
4.070897682,15.38135332,15.60865386,30.6715612,39.85684854,52.50340115,56.77074885
40.26619593,152.1405436,154.3888261,303.3795465,394.2333602,519.3233538,561.5326825
19.58925348,74.01542671,75.10920215,147.5922595,191.7920739,252.6475765,273.182152
5.971704179,22.56330152,22.89673452,44.99289948,58.46703296,77.01858521,83.27846696
11.15837552,42.16045937,42.78349266,84.0710881,109.2480622,143.9124026,155.6092498
13.65918669,51.60944659,52.37211389,102.9130706,133.7326992,176.1659993,190.4843397
23.46839065,88.67223805,89.982607,176.8190302,229.771457,302.6777936,327.2787025
8.771742483,33.14287925,33.63265374,66.08936343,85.88130649,113.1313902,122.3264322
17.79951322,67.25312772,68.24697215,134.1077329,174.2693032,229.5648419,248.2233094
11.46430545,43.31637551,43.95649055,86.37607076,112.2433236,147.8580586,159.875599
