Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,41.00559758,8.844643256,2,7.96164447,0,0,0,0,16
   B,0,0,0,0,47.28823054,19.77781816,2,13.70493898,16
   C,46.97674796,5.497719633,2,8.335306663,0,0,0,0,16
   D,0,0,0,0,49.39736065,18.76952982,2,11.31315642,16
   E,32.87581699,3.522741306,2,7.028858319,0,0,0,0,16
   F,0,0,0,0,23.36401661,6.496508238,2,9.211323282,16
   G,3.933158473,24.52814984,2,29.2985337,0,0,0,0,16
   H,0,0,0,0,42.73818185,21.6659402,2,18.29131087,16
   I,24.53485207,2.502782879,2,1.822404368,0,0,0,0,16
   J,0,0,0,0,32.51373588,3.277984704,2,1.697514825,16
   L,22.09788589,6.998231288,2,11.64388282,0,0,0,0,16
   M,0,0,0,0,31.69823657,8.341046741,2,10.32071669,16
   N,22.35871148,0.200992174,2,0.868432085,0,0,0,0,16
   O,0,0,0,0,23.14290515,0.28442414,2,0.397409647,16
   P,10.66346089,8.346938723,2,9.689803348,0,0,0,0,16
   Q,0,0,0,0,10.74156303,10.23229393,2,8.795557077,16
