MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,RIO-REPEAT,ReEDS-NREL,EPS-EI,GCAM-CGS
28.79870253,29.67793162,37.16022886,64.28070762,93.28448265,94.7987004,123.300484,135.1566919,147.2135171
25.365153,26.13955526,32.72976932,56.61678619,82.16256175,83.49624562,108.5998801,119.0425216,129.6618617
27.83873455,28.68865566,35.92154007,62.13799229,90.17496351,91.63870675,119.1904198,130.6514161,142.3063425
8.184411505,8.434282925,10.5607051,18.26817588,26.51086771,26.94119894,35.04122794,38.41068821,41.8371627
11.03017291,11.36692589,14.23271584,24.62011332,35.72883092,36.30879051,47.22524068,51.76627939,56.38415645
14.77121358,15.22218114,19.05994469,32.97037637,47.84677419,48.62343536,63.24235551,69.32355235,75.50764836
12.85721382,13.24974666,16.59022686,28.69819575,41.64696443,42.32298868,55.0476427,60.34086032,65.72364382
6.790078553,6.99738076,8.761536141,15.15592773,21.99435771,22.35137579,29.07144761,31.86687156,34.70959653
17.2837492,17.81142489,22.30197958,38.57853067,55.98535561,56.89412433,73.99967547,81.11526421,88.35125494
18.08105882,18.6330765,23.33078315,40.35818121,58.56799333,59.51868409,77.41332448,84.85715955,92.42695083
16.2546525,16.75090969,20.97409098,36.28151524,52.65191539,53.50657484,69.59363943,76.28555685,83.09070736
3.946728395,4.067222657,5.092636735,8.809372357,12.78420499,12.99172149,16.89775853,18.52259674,20.17492863
11.7973195,12.15749359,15.22259873,26.33243787,38.21376483,38.8340605,50.50974786,55.36661501,60.30566461
9.083288633,9.360602918,11.72056568,20.27453217,29.42250193,29.90009556,38.88973412,42.62925531,46.43205247
12.64586995,13.03195042,16.31752059,28.22646152,40.96238136,41.62729329,54.14278242,59.34899137,64.64329393
2.548463656,2.626268667,3.28839442,5.68834818,8.254959174,8.388955798,10.91114441,11.96032761,13.02726391
7.6226822,7.855403933,9.835881141,17.01435699,24.6913195,25.09211536,32.63620656,35.77440713,38.96570881
25.27114596,26.04267818,32.60846792,56.40695594,81.85805505,83.18679609,108.1973927,118.6013323,129.1813156
11.17068287,11.51172564,14.41402201,24.93374133,36.18396945,36.77131696,47.82682841,52.42571401,57.10241677
21.4133082,22.06705999,27.63053066,47.79599365,69.36178374,70.48768208,91.68021585,100.4959128,109.460779
16.44738716,16.94952857,21.22278496,36.71171241,53.27621966,54.14101298,70.41882511,77.19008992,84.07593046
17.6131147,18.15084597,22.72697434,39.31369739,57.05223321,57.97831975,75.40984059,82.66102662,90.03490905
15.56447446,16.03966041,20.08352399,34.74098984,50.41629726,51.23466759,66.63866998,73.04644632,79.56264784
3.636557271,3.747581958,4.69240933,8.117048829,11.77950164,11.97070954,15.56977336,17.06691647,18.58939254
12.57985335,12.96391833,16.23233648,28.07910788,40.74854102,41.40998184,53.86013501,59.03916543,64.30582957
22.19021163,22.86768242,28.63300324,49.53009617,71.87832194,73.04506938,95.00649659,104.1420388,113.4321623
30.44075773,31.37011903,39.2790447,67.94588906,98.60341219,100.2039682,130.3308771,142.8631067,155.6073926
15.30373132,15.77095673,19.74707567,34.158993,49.57170056,50.37636117,65.52230872,71.82273908,78.22977823
16.27232545,16.7691222,20.99689516,36.32096249,52.70916144,53.56475013,69.66930546,76.3684987,83.18104814
9.055432623,9.33189646,11.68462185,20.21235561,29.33227101,29.80839999,38.77046974,42.49852282,46.28965782
6.093735946,6.279778699,7.863014736,13.60164258,19.73877137,20.05917619,26.09008481,28.59882978,31.15002491
25.04067026,25.80516601,32.31107501,55.89251813,81.11150033,82.4281231,107.2106203,117.5196747,128.0031674
16.88429679,17.39977713,21.78654862,37.68692509,54.69145316,55.57921892,72.28943607,79.24057328,86.3093298
14.72363746,15.17315252,18.99855513,32.86418316,47.69266607,48.46682572,63.03866026,69.10027037,75.26444823
18.00393449,18.55359755,23.23126625,40.18603434,58.31817294,59.26480855,77.08311977,84.49520334,92.03270585
25.78718118,26.57446803,33.27433079,57.55878245,83.5295914,84.88546525,110.4067767,121.023164,131.8191899
24.08035815,24.81553542,31.07194219,53.74903471,78.00086653,79.26699669,103.0990827,113.0127839,123.0942336
17.32855857,17.85760229,22.35979908,38.6785483,56.13050169,57.04162645,74.19152498,81.32556139,88.58031195
19.38566179,19.97750921,25.01416958,43.2701458,62.79385083,63.81313679,82.99892949,90.97985974,99.0958343
16.18169291,16.67572264,20.87994802,36.11866436,52.41558539,53.26640868,69.2812659,75.94314641,82.71775176
20.79953696,21.43455022,26.83855472,46.42601356,67.37366181,68.46728845,89.05237906,97.61539101,106.3232966
4.728100018,4.872449684,6.100874808,10.55344818,15.3152165,15.56381704,20.24316963,22.18969263,24.16915249
12.75355834,13.14292656,16.45647565,28.4668295,41.31120458,41.9817787,54.60384593,59.85438938,65.19377662
3.154495708,3.250802977,4.070384155,7.041053883,10.21801242,10.38387383,13.50584621,14.80452822,16.12518507
7.620823616,7.853488606,9.833482929,17.0102085,24.6852992,25.08599733,32.62824911,35.76568452,38.95620808
19.49057974,20.08563033,25.14954982,43.50432998,63.13370007,64.15850255,83.44813149,91.47225566,99.63215503
10.2214274,10.53348925,13.18915604,22.81493708,33.10915018,33.64658643,43.76262938,47.97071369,52.25000246
18.76775326,19.34073583,24.2168551,41.89093098,60.79232741,61.77912413,80.35337903,88.07992101,95.93720284
33.49626613,34.51891261,43.22170119,74.76599639,108.5007859,110.2619986,143.4129132,157.2030724,171.2265732
25.28105645,26.05289124,32.62125586,56.42907684,81.89015701,83.21941914,108.2398241,118.6478437,129.2319761
5.693958127,5.867795599,7.347163884,12.70931068,18.44381487,18.74319963,24.37845219,26.72261166,29.10643636
-0.812779724,-0.837594021,-1.048765323,-1.81418089,-2.632748331,-2.675483781,-3.479883623,-3.814498884,-4.154776128
4.134104937,4.260319836,5.334416905,9.227609835,13.39115329,13.60852194,17.70000364,19.40198335,21.13276205
13.76016552,14.18026562,17.75534503,30.71364675,44.57179694,45.29529783,58.91359398,64.57854998,70.339362
22.68464689,23.37721287,29.27099474,50.63371007,73.47989192,74.67263645,97.12340122,106.4624987,115.9596218
14.90566708,15.36073953,19.23343594,33.27048594,48.2822947,49.06602534,63.81801276,69.95456309,76.19494922
29.18934374,30.08049917,37.66429034,65.15264596,94.54984391,96.08460134,124.9729985,136.9900305,149.2104011
16.9466083,17.46399102,21.8669519,37.82600873,54.89329203,55.78433408,72.5562203,79.53301069,86.62785447
-1.495351652,-1.541004982,-1.929517816,-3.337728921,-4.843728814,-4.922353468,-6.402287819,-7.017912778,-7.643954648
6.146166267,6.333809727,7.930667879,13.71867071,19.90860317,20.23176475,26.31456312,28.84489325,31.41803879
12.87810463,13.27127527,16.61718318,28.74482548,41.71463373,42.39175641,55.13708584,60.43890405,65.83043367
8.502663934,8.762251653,10.97136016,18.97853744,27.54174794,27.98881269,36.40381288,39.90429528,43.46400889
34.59904286,35.65535728,44.64466236,77.22747076,112.0728897,113.8920857,148.1344073,162.3785714,176.8637592
30.70423656,31.64164191,39.61902299,68.53399214,99.4568703,101.0712798,131.4589511,144.0996529,156.9542465
21.46080766,22.11600962,27.6918213,47.90201576,69.51564355,70.64403938,91.88358289,100.718835,109.7035873
15.83105195,16.31437655,20.42750062,35.33600935,51.27979254,52.11217934,67.78001077,74.29753505,80.92534154
17.01353767,17.53296375,21.95331379,37.97539973,55.11008899,56.00465015,72.84277568,79.84712038,86.96998471
12.82310783,13.21459941,16.5462184,28.62206881,41.53648863,42.21071961,54.90161928,60.18079573,65.54930046
8.849774185,9.119959236,11.41925174,19.75331167,28.66610416,29.13141975,37.88995143,41.53333648,45.2383708
6.592178701,6.793438993,8.506177283,14.71420149,21.35332239,21.69993502,28.22414737,30.93809745,33.69796994
17.6359581,18.17438678,22.75645017,39.36468543,57.12622731,58.05351495,75.50764367,82.76823415,90.15168017
4.051087956,4.174768333,5.227296453,9.042310158,13.12224548,13.33524915,17.34456978,19.01237203,20.70839496
11.52494146,11.87679981,14.8711374,25.72447115,37.33148049,37.9374547,49.34357228,54.08830346,58.91331964
5.044407688,5.198414279,6.509020466,11.25946891,16.33979729,16.60502909,21.59742817,23.67417264,25.78605744
59.39346778,61.20676005,76.63799622,132.5703522,192.3867545,195.5096259,254.2907381,278.7425793,303.608167
21.74800716,22.41197737,28.06240741,48.54306502,70.44593743,71.58943403,93.11321597,102.0667059,111.1716968
5.643174261,5.815461293,7.281635235,12.59595755,18.27931626,18.57603083,24.16102312,26.48427525,28.84683884
16.11881181,16.61092176,20.79880978,35.97830936,52.21190152,53.05941855,69.01204299,75.64803582,82.39631545
19.53260243,20.12893598,25.20377354,43.59812755,63.26981957,64.29683158,83.62804995,91.66947454,99.84696708
44.01133198,45.35500513,56.7897518,98.23635491,142.5610869,144.8751752,188.4327437,206.551876,224.9775999
7.9943824,8.2384522,10.31550221,17.8440177,25.89532725,26.31566687,34.22762598,37.51885272,40.86576988
20.31685313,20.93712997,26.2157266,45.34862965,65.81015693,66.87840435,86.98578767,95.35008234,103.8559082
15.04547032,15.50481099,19.41383018,33.58253649,48.73514401,49.52622542,64.41657468,70.61068094,76.9095969
30.98051239,31.92635249,39.97551381,69.15065902,100.3517803,101.9807163,132.641815,145.3962574,158.3665162
13.14946512,13.55092044,16.96733152,29.35052097,42.59362203,43.28501268,56.29890484,61.71244011,67.21757713
10.07246464,10.37997863,12.99694286,22.48244184,32.62663143,33.15623532,43.12485134,47.2716088,51.48853303
10.73221014,11.05986627,13.84824141,23.95503969,34.76367275,35.32796565,45.94952508,50.36789477,54.86102715
38.28403599,39.45285386,49.39957061,85.4526318,124.0092843,126.022235,163.9115568,179.6728047,195.7007467
14.3614036,14.7998596,18.5311489,32.05565199,46.51932162,47.27443524,61.48777061,67.40025179,73.41277731
15.69700212,16.17623416,20.25453024,35.0368008,50.84557961,51.67091816,67.20608183,73.6684188,80.24010417
26.06801488,26.86387563,33.63670283,58.18562281,84.43926525,85.80990516,111.6091549,122.3411593,133.2547587
80.7927055,83.25931999,104.2503711,180.3349395,261.7029613,265.9509912,345.9107118,379.1724572,412.9970204
8.685749165,8.950926505,11.20760307,19.38719642,28.13479588,28.59148713,37.18768492,40.76354211,44.39990594
8.83048377,9.100079881,11.39436048,19.71025412,28.60361883,29.06792014,37.80736029,41.44280363,45.13976185
36.7769422,37.89974825,47.4549014,82.08869361,119.1275205,121.0612291,157.4589955,172.5997843,187.9967684
33.02631291,34.03461163,42.61529994,73.7170281,106.9785179,108.7150207,141.4008274,154.9975105,168.8242613
41.60791915,42.87821571,53.68852282,92.87177026,134.775975,136.9636933,178.1426286,195.272294,212.6918083
13.57804829,13.99258832,17.52035118,30.30714842,43.98188455,44.69580983,58.1338664,63.72384612,69.40841318
28.03077306,28.88655714,36.16933579,62.56663562,90.79701284,92.27085334,120.0126249,131.5526821,143.288007
13.28620641,13.69183646,17.14377481,29.65573705,43.03655312,43.73513354,56.88435716,62.35418779,67.91657274
25.45114289,26.22817044,32.84072585,56.80872161,82.44109939,83.77930455,108.9680423,119.4460852,130.1014258
20.6646094,21.2955033,26.66445178,46.12484586,66.93660575,68.02313798,88.47469216,96.98215545,105.6335725
28.457916,29.32674082,36.72049705,63.52004837,92.18061016,93.67690957,121.8414202,133.5573288,145.4714809
8.294070212,8.54728953,10.70220254,18.51294174,26.86607315,27.30217017,35.51072727,38.92533321,42.39771726
8.918814318,9.191107176,11.50833726,19.90741405,28.8897383,29.35868398,38.18554398,41.85735233,45.5912909
31.94428883,32.91955318,41.21911681,71.30187507,103.4736358,105.1532465,136.7681849,149.9194069,163.293159
4.108235921,4.233661034,5.301036978,9.169868391,13.30735862,13.5233671,17.58924649,19.28057612,21.00052454
8.844966404,9.115004673,11.41304805,19.74258037,28.65053084,29.11559364,37.86936711,41.51077284,45.21379434
65.22586437,67.21722066,84.16379332,145.5886671,211.2789979,214.7085331,279.261909,306.1149037,333.4222746
7.01343692,7.227558295,9.049745238,15.65447914,22.717858,23.08662012,30.02774746,32.91512636,35.85136224
11.77364339,12.13309464,15.19204841,26.27959115,38.1370734,38.75612421,50.40837956,55.25549944,60.18463682
