MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,NEMS-RHG,ReEDS-NREL,RIO-REPEAT,GCAM-PNNL,EPS-EI
19.3596179,36.61908417,37.16022886,73.02117429,94.88900368,120.3737179,124.997224,130.6607581,135.1566919
17.05145117,32.25314306,32.72976932,64.31516337,83.57578241,106.0220602,110.0943248,115.0826193,119.0425216
18.71428975,35.39843375,35.92154007,70.58710667,91.72599988,116.3612137,120.8306011,126.3053485,130.6514161
5.501882569,10.40691515,10.5607051,20.75216195,26.96686257,34.20945929,35.52343086,37.13297189,38.41068821
7.414915054,14.02545236,14.23271584,27.96779396,36.34337751,46.10426185,47.87510801,50.04429462,51.76627939
9.929789391,18.78238483,19.05994469,37.4534707,48.66975303,61.7411807,64.11263462,67.01753185,69.32355235
8.643123648,16.34863219,16.59022686,32.60038713,42.36330468,53.74098462,55.80515423,58.33364551,60.34086032
4.564557246,8.633946541,8.761536141,17.21673082,22.37266725,28.38138279,29.47150029,30.80683271,31.86687156
11.61881442,21.97720769,22.30197958,43.82418484,56.94832049,72.24315569,75.01798625,78.41699709,81.11526421
12.15479724,22.99102934,23.33078315,45.84582052,59.57538035,75.57577539,78.47861053,82.03441976,84.85715955
10.92701524,20.66865642,20.97409098,41.21483639,53.5575441,67.9417051,70.55131867,73.74794802,76.28555685
2.653145696,5.018475369,5.092636735,10.00721271,13.00409714,16.49665883,17.13028886,17.9064499,18.52259674
7.930621091,15.0009201,15.22259873,29.91294911,38.87105302,49.31080515,51.20481335,53.5248665,55.36661501
6.106143046,11.5498853,11.72056568,23.03132933,29.92857777,37.96661403,39.42489641,41.21121002,42.62925531
8.501050002,16.0798972,16.31752059,32.06450959,41.66694659,52.85760288,54.88784215,57.37477069,59.34899137
1.713177271,3.240507277,3.28839442,6.461812249,8.396946944,10.65214813,11.06129285,11.56247205,11.96032761
5.124266088,9.692646425,9.835881141,19.32785704,25.11601759,31.86152556,33.08531395,34.58438566,35.77440713
16.98825595,32.13360811,32.60846792,64.0768018,83.26603811,105.6291266,109.6862989,114.656106,118.6013323
7.509371362,14.20411825,14.41402201,28.32406703,36.80634455,46.69156978,48.4849742,50.6817934,52.42571401
14.39486603,27.22816191,27.63053066,54.29497764,70.55482719,89.50401559,92.94182884,97.15295606,100.4959128
11.05657904,20.91372881,21.22278496,41.70352894,54.19258659,68.74730346,71.38785974,74.62239217,77.19008992
11.84022684,22.39601347,22.72697434,44.65931467,58.0335487,73.61984792,76.44755667,79.91134032,82.66102662
10.46305048,19.79105829,20.08352399,39.46484051,51.28347267,65.05687733,67.55568583,70.61658522,73.04644632
