MARKAL-NETL,REGEN-EPRI,IPM-NRDC,Haiku-RFF,RIO-REPEAT,NEMS-RHG,ReEDS-NREL,EPS-EI,GCAM-CGS
19.3596179,29.67793162,37.16022886,73.02117429,81.48742474,93.28448265,128.5373791,135.1566919,147.2135171
17.05145117,26.13955526,32.72976932,64.31516337,71.77201799,82.16256175,113.212402,119.0425216,129.6618617
18.71428975,28.68865566,35.92154007,70.58710667,78.77114547,90.17496351,124.2527497,130.6514161,142.3063425
5.501882569,8.434282925,10.5607051,20.75216195,23.15821749,26.51086771,36.52952085,38.41068821,41.8371627
7.414915054,11.36692589,14.23271584,27.96779396,31.21044721,35.72883092,49.23102059,51.76627939,56.38415645
9.929789391,15.22218114,19.05994469,37.4534707,41.79591611,47.84677419,65.92842432,69.32355235,75.50764836
8.643123648,13.24974666,16.59022686,32.60038713,36.38015437,41.64696443,57.38566055,60.34086032,65.72364382
4.564557246,6.99738076,8.761536141,17.21673082,19.21287997,21.99435771,30.30618829,31.86687156,34.70959653
11.61881442,17.81142489,22.30197958,43.82418484,48.90526615,55.98535561,77.1426359,81.11526421,88.35125494
12.15479724,18.6330765,23.33078315,45.84582052,51.16129514,58.56799333,80.70127153,84.85715955,92.42695083
10.92701524,16.75090969,20.97409098,41.21483639,45.99338358,52.65191539,72.54946394,76.28555685,83.09070736
2.653145696,4.067222657,5.092636735,10.00721271,11.167473,12.78420499,17.61545068,18.52259674,20.17492863
7.930621091,12.15749359,15.22259873,29.91294911,33.38112832,38.21376483,52.65502941,55.36661501,60.30566461
6.106143046,9.360602918,11.72056568,23.03132933,25.70163701,29.42250193,40.5414832,42.62925531,46.43205247
8.501050002,13.03195042,16.31752059,32.06450959,35.7821459,40.96238136,56.44236848,59.34899137,64.64329393
1.713177271,2.626268667,3.28839442,6.461812249,7.211010292,8.254959174,11.37456935,11.96032761,13.02726391
5.124266088,7.855403933,9.835881141,19.32785704,21.56877524,24.6913195,34.02235191,35.77440713,38.96570881
